ID,Item,Money,Invoice,Time

G1009862N,1,23.4,D232312,20180789
G1009862N,2,23.4,D232312,20180789
G1009862N,3,23.4,D232312,20180789
G1009862N,4,23.4,D232312,20180789
G1009862N,5,23.4,D232312,20180789
G1009862N,6,23.4,D232312,20180789
G1009862N,7,23.4,D232312,20180789
G1009862N,8,23.4,D232312,20180789
G1009862N,9,23.4,D232312,20180789
G1009862N,10,23.4,D232312,20180789
G1009862N,11,23.4,D232312,20180789
G1009862N,12,23.4,D232312,20180789
G1009862N,13,23.4,D232312,20180789
G1009862N,14,23.4,D232312,20180789
G1009862N,15,23.4,D232312,20180789
